"hump","arch one''s back"
"faecal","foul with waste matter; of or relating to feces"
"feculent","foul with waste matter; of or relating to feces"
"filthy","disgustingly dirty; filled or smeared with offensive matter; ""as filthy as a pigsty""; ""a foul pond""; ""a nasty pigsty of a room"""
"foul","disgustingly dirty; filled or smeared with offensive matter; ""as filthy as a pigsty""; ""a foul pond""; ""a nasty pigsty of a room"""
"nasty","disgustingly dirty; filled or smeared with offensive matter; ""as filthy as a pigsty""; ""a foul pond""; ""a nasty pigsty of a room"""
"flyblown","foul and run-down and repulsive; ""a flyblown bar on the edge of town""; ""a squalid overcrowded apartment in the poorest part of town""; ""squalid living conditions""; ""sordid shantytowns"""
"squalid","foul and run-down and repulsive; ""a flyblown bar on the edge of town""; ""a squalid overcrowded apartment in the poorest part of town""; ""squalid living conditions""; ""sordid shantytowns"""
"sordid","foul and run-down and repulsive; ""a flyblown bar on the edge of town""; ""a squalid overcrowded apartment in the poorest part of town""; ""squalid living conditions""; ""sordid shantytowns"""
"greasy","smeared or soiled with grease or oil; ""greasy coveralls""; ""get rid of rubbish and oily rags"""
"oily","smeared or soiled with grease or oil; ""greasy coveralls""; ""get rid of rubbish and oily rags"""
"lousy","infested with lice; ""burned their lousy clothes"""
"maculate","spotted or blotched"
"mucky","dirty and messy; covered with mud or muck; ""muddy boots""; ""a mucky stable"""
"muddy","dirty and messy; covered with mud or muck; ""muddy boots""; ""a mucky stable"""
"scummy","covered with scum; ""the scummy surface of the polluted pond"""
"smeared","smeared with something that soils or stains; these words are often used in combination; ""oil-smeared work clothes""; ""hostile faces smirched by the grime and rust""- Henry Roth; ""ink-smudged fingers"""
"smirched","smeared with something that soils or stains; these words are often used in combination; ""oil-smeared work clothes""; ""hostile faces smirched by the grime and rust""- Henry Roth; ""ink-smudged fingers"""
"smudged","smeared with something that soils or stains; these words are often used in combination; ""oil-smeared work clothes""; ""hostile faces smirched by the grime and rust""- Henry Roth; ""ink-smudged fingers"""
"smudgy","smeared with something that soils or stains; these words are often used in combination; ""oil-smeared work clothes""; ""hostile faces smirched by the grime and rust""- Henry Roth; ""ink-smudged fingers"""
"snotty","dirty with nasal discharge; ""a snotty nose""; ""a house full of snot-nosed kids"""
"unswept","not having been swept; ""unswept floors"""
"unwashed","not cleaned with or as if with soap and water; ""a sink full of unwashed dishes"""
"clean","(of behavior or especially language) free from objectionable elements; fit for all observers; ""good clean fun""; ""a clean joke"""
"antiseptic","(extended sense) of exceptionally clean language; ""lyrics as antiseptic as Sunday School"""
"dirty","(of behavior or especially language) characterized by obscenity or indecency; ""dirty words""; ""a dirty old man""; ""dirty books and movies""; ""boys telling dirty jokes""; ""has a dirty mouth"""
"bawdy","humorously vulgar; ""bawdy songs""; ""off-color jokes""; ""ribald language"""
"ribald","humorously vulgar; ""bawdy songs""; ""off-color jokes""; ""ribald language"""
"blasphemous","characterized by profanity or cursing; ""foul-mouthed and blasphemous""; ""blue language""; ""profane words"""
"blue","characterized by profanity or cursing; ""foul-mouthed and blasphemous""; ""blue language""; ""profane words"""
"profane","characterized by profanity or cursing; ""foul-mouthed and blasphemous""; ""blue language""; ""profane words"""
"filthy","characterized by obscenity; ""had a filthy mouth""; ""foul language""; ""smutty jokes"""
"foul","characterized by obscenity; ""had a filthy mouth""; ""foul language""; ""smutty jokes"""
"nasty","characterized by obscenity; ""had a filthy mouth""; ""foul language""; ""smutty jokes"""
"smutty","characterized by obscenity; ""had a filthy mouth""; ""foul language""; ""smutty jokes"""
"lewd","suggestive of or tending to moral looseness; ""lewd whisperings of a dirty old man""; ""an indecent gesture""; ""obscene telephone calls""; ""salacious limericks"""
"obscene","suggestive of or tending to moral looseness; ""lewd whisperings of a dirty old man""; ""an indecent gesture""; ""obscene telephone calls""; ""salacious limericks"""
"raunchy","suggestive of or tending to moral looseness; ""lewd whisperings of a dirty old man""; ""an indecent gesture""; ""obscene telephone calls""; ""salacious limericks"""
"salacious","suggestive of or tending to moral looseness; ""lewd whisperings of a dirty old man""; ""an indecent gesture""; ""obscene telephone calls""; ""salacious limericks"""
"scabrous","dealing with salacious or indecent material; ""a scabrous novel"""
"scatological","dealing pruriently with excrement and excretory functions; ""scatological literature"""
"clean","not spreading pollution or contamination; especially radioactive contamination; ""a clean fuel""; ""cleaner and more efficient engines""; ""the tactical bomb is reasonably clean"""
"dirty","spreading pollution or contamination; especially radioactive contamination; ""the air near the foundry was always dirty""; ""the air near the foundry was always dirty""; ""a dirty bomb releases enormous amounts of long-lived radioactive fallout"""
"contaminating","spreading pollution or contamination; especially radioactive contamination; ""the air near the foundry was always dirty""; ""the air near the foundry was always dirty""; ""a dirty bomb releases enormous amounts of long-lived radioactive fallout"""
"radioactive","exhibiting or caused by radioactivity; ""radioactive isotope""; ""radioactive decay""; ""radioactive fallout"""
"hot","having or dealing with dangerously high levels of radioactivity; ""hot fuel rods""; ""a hot laboratory"""
"clean","ritually clean or pure"
"halal","conforming to dietary laws; ""halal meat""; ""a halal kitchen"""
"kosher","conforming to dietary laws; ""kosher meat""; ""a kosher kitchen"""
"cosher","conforming to dietary laws; ""kosher meat""; ""a kosher kitchen"""
"unclean","ritually unclean or impure; ""and the swine...is unclean to you""-Leviticus 11:3"
"impure","ritually unclean or impure; ""and the swine...is unclean to you""-Leviticus 11:3"
"defiled","having the purity corrupted; made unclean; ""the defiled Temple"""
"nonkosher","not conforming to dietary laws"
"tref","not conforming to dietary laws"
"terefah","not conforming to dietary laws"
"untouchable","defiling to the touch; especially used in traditional Hindu belief of the lowest caste or castes"
"clear","clear to the mind; ""a clear and present danger""; ""a clear explanation""; ""a clear case of murder""; ""a clear indication that she was angry""; ""gave us a clear idea of human nature"""
"broad","lacking subtlety; obvious; ""gave us a broad hint that it was time to leave"""
"unsubtle","lacking subtlety; obvious; ""gave us a broad hint that it was time to leave"""
"distinct","clearly or sharply defined to the mind; ""clear-cut evidence of tampering""; ""Claudius was the first to invade Britain with distinct...intentions of conquest""; ""trenchant distinctions between right and wrong"""
"trenchant","clearly or sharply defined to the mind; ""clear-cut evidence of tampering""; ""Claudius was the first to invade Britain with distinct...intentions of conquest""; ""trenchant distinctions between right and wrong"""
"limpid","(of language) transparently clear; easily understandable; ""writes in a limpid style""; ""lucid directions""; ""a luculent oration""- Robert Burton; ""pellucid prose""; ""a crystal clear explanation""; ""a perspicuous argument"""
"lucid","(of language) transparently clear; easily understandable; ""writes in a limpid style""; ""lucid directions""; ""a luculent oration""- Robert Burton; ""pellucid prose""; ""a crystal clear explanation""; ""a perspicuous argument"""
"luculent","(of language) transparently clear; easily understandable; ""writes in a limpid style""; ""lucid directions""; ""a luculent oration""- Robert Burton; ""pellucid prose""; ""a crystal clear explanation""; ""a perspicuous argument"""
